id,parkId,cost,description,title
1,2,6.0,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 9 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.",Timed Entry Reservation - Location
2,2,35.0,"Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary.",Entrance - Private Vehicle
3,2,30.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
4,2,20.0,"Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge.",Entrance - Per Person
5,2,0.0,"School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups.",Entrance - Education/Academic Groups
6,2,0.0,"Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.

Adults (16 years old and over): $20/per person
Youth (15 years old and under): Free",Entrance - Non-commercial Groups
7,2,20.0,"Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.

A commercial group is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provisions of the service. Learn more on our ""Do Business With Us"" page.",Commercial Entrance - Per Person
8,2,100.0,"Each non-US resident aged 16 and older visiting Acadia National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless they are admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group.",Nonresident
9,3,15.0,"Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Beautiful Interagency Pass, you do not need to pay the entrance fee. Guided tours must be reserved in-person on the day of your visit at the park’s visitor center.",Entrance - Per Person
10,21,20.0,Personal Vehicle/Family: $20.00 for three days,Entrance - Private Vehicle
11,21,10.0,"Individual: $10.00 for three days. This fee admits one individual in a vehicle and also includes hikers, bicyclists or pedestrians. Youth 15 and under are admitted free of charge.",Entrance - Per Person
12,21,15.0,"Valid for 3 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
13,21,100.0,$100 Motor Coach/Commercial Tour Groups with 26 or more people,Commercial Entrance - Motor Coach
14,21,40.0,$40 per passenger bus with 16-25 people,Commercial Entrance - Mini-bus
15,21,25.0,$25 per passenger bus/sedan with 1-6 people,Commercial Entrance - Sedan
16,21,0.0,"To request an Academic Fee Waiver for your group, click on the link for further details.",Entrance - Education/Academic Groups
17,25,30.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants.",Entrance - Private Vehicle
18,25,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
19,25,15.0,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",Entrance - Per Person
20,28,25.0,Assateague 7 day vehicle pass.,Entrance - Private Vehicle
21,28,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
22,28,0.0,Assateague per person walk-in or bicycle,Entrance - Per Person
23,30,30.0,Fee covers the entry of a private vehicle and its occupants for 7 days,Entrance - Private Vehicle
24,30,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
25,30,15.0,"Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days",Entrance - Per Person
26,30,25.0,"Commercial sedan, 1 to 6 passenger capacity. $25 plus $15 per person - 7 days for Original Manifest",Commercial Entrance - Sedan
27,30,50.0,"Commercial van, 7 to 15 passenger capacity; $50 - 7 days for Original Manifest",Commercial Entrance - Van
28,30,60.0,"Minibus, 16 to 25 passenger capacity; $60 - 7 days for Original Manifest",Commercial Entrance - Mini-bus
29,30,150.0,"Motorcoach, 26 or more passenger capacity; $150 - 7 days for Original Manifest",Commercial Entrance - Motor Coach
30,32,25.0,"Pass covers all persons traveling in a single, private, non-commercial vehicle (car, truck, camper, or van up to 15 passengers). Auto passes are non-transferable and not replaced if lost or stolen.  Entrance passes do not cover camping fees.",Entrance - Private Vehicle
31,32,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
32,32,15.0,"Pass covers per person entrance fee for those 16 years of age and older traveling on foot or by bicycle, or for individuals traveling together in a 16 passenger or greater vehicle as a non-commercial, organized group. Individual passes are non-transferable and not replaced if lost or stolen.",Entrance - Per Person
33,36,30.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days.",Entrance - Private Vehicle
34,36,15.0,Admits one individual. Typically used for bicyclists and pedestrians; valid for 7 days.,Entrance - Per Person
35,36,200.0,Companies conducting business in the park are required to obtain a commercial use authorization. The only exception is companies travelling in a 26-person capacity or greater vehicle; such vehicles are charged a flat fee of $200 (commercial use authorization not required).,Commercial Entrance - Motor Coach
36,36,30.0,"Organized groups such as Scouts, clubs, etc. that do not qualify for an academic fee waiver are charged as follows:
$30 per non-commercial vehicle with a capacity of 15 or less.
$15 per person traveling in a non-commercial vehicle with a capacity of 16 or more. Fees will not exceed the commercial rate for the same sized vehicle. Youth 15 and younger are free. Individuals or families with a valid annual or lifetime pass may use their pass for themselves and up to 3 others.",Entrance - Non-commercial Groups
37,36,100.0,"This fee is valid for seven consecutive days. A commercial use authorization is required.

https://www.nps.gov/bibe/learn/management/cua.htm",Commercial Entrance - Mini-bus
38,36,25.0,"These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per client.
This fee is valid for seven consecutive days. A commercial use authorization is required.",Commercial Entrance - Sedan
39,36,25.0,"Valid for 7 days. Admits up to 1 private, non-commercial motorcycle with up to 2 total passengers.",Entrance - Motorcycle
40,44,30.0,"7-Day Vehicle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle.",Entrance - Private Vehicle
41,44,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
42,44,15.0,7-Day Individual Pass (pedestrian or bicycle),Entrance - Per Person
43,44,25.0,Commercial tour fee for vehicle/bus with seating capacity of 1-6 persons.  Fee is $25.00 per vehicle plus $7.00 per passenger.,Commercial Entrance - Sedan
44,44,40.0,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.,Commercial Entrance - Van
45,44,40.0,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.,Commercial Entrance - Mini-bus
46,44,100.0,Commercial tour fee for vehicle/bus with seating capacity of 26 or more.  Fee is $100.00 per vehicle.,Commercial Entrance - Motor Coach
47,44,30.0,"Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers.",Entrance - Non-commercial Groups
48,44,15.0,Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per-person rate. Pass and photo ID must be presented upon entry.,Entrance - Non-commercial Groups
49,55,35.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants.",Entrance - Private Vehicle
50,55,30.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
51,55,20.0,Admits one individual with no car to the park - typically used for bicyclists and walk-ins. Youth 15 and under are admitted free.,Entrance - Per Person
52,55,50.0,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles t",Commercial Entrance - Sedan
